Title,Facenumber,Score,Cast_Likes,Gross
"Good Night, and Good Luck. ",0,7.5,22745,31501218
The Dead Girl ,0,6.7,11860,17311
The Dangerous Lives of Altar Boys ,4,7.1,1292,1779284
The Da Vinci Code ,2,6.6,16008,217536138
Fish Tank ,0,7.3,13636,373060
Taken 3 ,0,6,16967,89253340
Sinister 2 ,0,5.2,2403,27736779
The Curse of the Were-Rabbit ,0,7.5,1145,56068547
Cast Away ,1,7.7,15838,233630478
Scoop ,0,6.7,20132,10515579
Manderlay ,1,7.4,4211,74205
The Crying Game ,0,7.3,2412,62549000
The Crow ,0,7.6,2630,50693162
Stardust ,8,7.7,16034,38345403
Philadelphia ,2,7.7,33865,77324422
Bogus ,3,5.3,3864,4357000
The Croods ,3,7.3,43286,187165546
Tears of the Sun ,1,6.6,16580,43426961
The Crazies ,0,6.5,2609,39103378
The Country Bears ,1,4,8189,16988996
The Count of Monte Cristo ,1,7.7,17152,54228104
She's the One ,2,6.1,995,9449219
The Cotton Club ,1,6.5,18793,25900000
The Core ,0,5.4,1439,31111260
The Cookout ,1,3.6,3835,11540112
Johnson Family Vacation ,5,4.3,5006,31179516
Mission: Impossible II ,0,6.1,11930,215397307
The Constant Gardener ,0,7.5,1565,33565375
Blades of Glory ,2,6.3,13232,118153533
The Color of Money ,1,7,11895,52293982
The Cold Light of Day ,3,4.9,30134,3749061
The Client ,3,6.7,4043,92115211
The Circle ,0,7.5,5,673780
Frankenweenie ,0,7,4774,35287788
The Chumscrubber ,1,7,2119,49526
Talladega Nights: The Ballad of Ricky Bobby ,5,6.6,12410,148213377
Mamma Mia! ,1,6.3,26002,143704210
The Chronicles of Riddick ,0,6.7,17159,57637485
Nothing to Lose ,2,6.7,2457,44455658
The Chronicles of Narnia: Prince Caspian ,4,6.6,22697,141614023
The Christmas Candle ,0,5.8,2909,2209479
Step Up Revolution ,0,6.5,4863,35057332
Bucky Larson: Born to Be a Star ,1,3.3,2603,2331318
Pan's Labyrinth ,0,8.2,1322,37623143
Keanu ,2,6.4,2958,20566327
The Chorus ,0,7.9,745,3629758
As It Is in Heaven ,15,7.6,774,9910
The Change-Up ,2,6.4,28045,37035845
It Follows ,0,6.9,1062,14673301
The Chambermaid on the Titanic ,1,6.8,1019,244465
The 5th Wave ,0,5.2,19974,34912982
Inside Man ,2,7.6,19148,88504640
The Cell ,1,6.3,2474,61280963
Beasts of the Southern Wild ,0,7.3,2658,12784397
Breakfast of Champions ,1,4.6,17417,175370
Obvious Child ,1,6.8,1587,3122616
Lara Croft: Tomb Raider ,1,5.7,12150,131144183
The Celebration ,1,8.1,821,1647780
The Canyons ,0,3.9,2862,49494
The Call ,0,6.7,2812,51872378
The Butterfly Effect ,0,7.7,12755,23947
The Brown Bunny ,0,5,883,365734
Harry Potter and the Order of the Phoenix ,3,7.5,33433,292000866
The Brothers ,4,6.3,6419,27457409
The Broken Hearts Club: A Romantic Comedy ,1,7,3085,1744858
Roger & Me ,0,7.5,1048,6706368
Labor Day ,1,6.9,39307,13362308
The Broadway Melody ,8,6.3,109,2808000
The Bridges of Madison County ,0,7.5,27237,70960517
The Bridge on the River Kwai ,2,8.2,1035,27200000
Six Days Seven Nights ,2,5.7,12729,74329966
The Bridge of San Luis Rey ,3,5.1,23769,42880
The Break-Up ,1,5.8,8315,118683135
Now You See Me 2 ,6,6.9,23031,64685359
The Boy Next Door ,1,4.6,4807,35385560
The Boxtrolls ,3,6.8,3151,50807639
Reign of Fire ,0,6.2,53024,43060566
Alex Rider: Operation Stormbreaker ,3,5.1,15638,652526
The Box ,1,5.6,2466,15045676
Armored ,6,5.7,137712,15988876
The Bourne Supremacy ,1,7.8,14161,176049130
Redacted ,0,6.2,408,65087
Out of the Furnace ,0,6.8,24134,11326836
The Bourne Identity ,1,7.9,13249,121468960
The Boss ,1,5.3,23562,63034755
Mama ,1,6.2,1949,71588220
The Boondock Saints II: All Saints Day ,0,6.3,17524,10269307
Osama ,1,7.4,30,1127331
Frailty ,0,7.3,12237,13103828
The Book Thief ,1,7.6,1985,21483154
Dead Man on Campus ,0,6,6861,15062898
The Book of Life ,1,7.3,19513,50150619
The Blues Brothers ,1,7.9,2566,54200000
The Blue Room ,0,6.3,421,231186
Sicko ,1,8,1633,24530513
The Blood of Heroes ,2,6.5,1526,882290
The Blind Side ,0,7.7,3389,255950375
Clash of the Titans ,0,5.8,36006,326384228
The Blair Witch Project ,0,6.4,399,140530114
Spawn ,0,5.2,7039,54967359
The Black Dahlia ,0,5.6,22833,22518325
Sex and the City 2 ,4,4.3,4555,95328937
The Big Year ,0,6.2,2085,7204138
The Big Hit ,5,6.1,3353,27052167
Held Up ,2,5.1,3291,4692814
The Beyond ,0,6.9,123,126387
Chasing Amy ,5,7.3,15765,12006514
Just Wright ,1,5.8,3906,21520719
Star Trek: The Motion Picture ,2,6.4,16007,82300000
The Best Offer ,2,7.8,5954,85433
The Best Man ,6,6.7,5420,34074895
The Best Exotic Marigold Hotel ,3,7.3,1898,46377022
The Benchwarmers ,2,5.6,13125,57651794
Mumford ,4,6.9,17873,4554569
Shanghai Knights ,2,6.2,428,60470220
Riding in Cars with Boys ,1,6.4,4796,29781453
Best in Show ,9,7.5,4611,18621249
Legend of the Guardians: The Owls of Ga'Hoole ,1,7,4286,55673333
"The Beast from 20,000 Fathoms ",0,6.7,205,5000000
The Beach ,0,6.6,29461,39778599
Monkeybone ,0,4.7,5580,5409517
The Battle of Shaker Heights ,2,6.1,2489,279282
The Barbarians ,0,4.8,1700,800000
Terminator Salvation ,0,6.6,27468,125320003
The Banger Sisters ,2,5.6,1917,30306281
Black Mass ,7,7,63769,62563543
Here on Earth ,1,5.1,3142,10494147
The Ballad of Jack and Rose ,1,6.7,859,712294
Teenage Mutant Ninja Turtles III ,0,4.8,1254,42660000
Get Him to the Greek ,2,6.4,2091,60923325
The Baader Meinhof Complex ,2,7.4,1601,476270
Take Me Home Tonight ,4,6.3,5519,6923891
The Aviator ,0,7.5,34582,102608827
The Avengers ,3,8.1,175394,1246559094
Out of Africa ,0,7.2,12518,87100000
Harry Potter and the Chamber of Secrets ,1,7.4,35672,261970615
I'm Not There. ,0,7,36398,4001121
The Astronaut Farmer ,0,6.3,27806,10996440
Lady Vengeance ,0,7.7,907,211667
The Assassination of Jesse James by the Coward Robert Ford ,0,7.5,22516,3904982
The Assassin ,1,6.4,1172,613556
Love Actually ,9,7.7,28886,59365105
The Artist ,0,8,4606,44667095
90 Minutes in Heaven ,0,4.6,6617,4700361
The Art of Getting By ,1,6.6,2353,1429260
The Apparition ,1,4.1,730,4930798
Shakespeare in Love ,0,7.2,1690,100241322
Little Boy ,0,7.4,5705,6420319
The Animal ,1,4.8,1203,55762229
Silver Linings Playbook ,0,7.8,72115,132088910
The Amityville Horror ,0,6,120797,64255243
Beerfest ,2,6.3,35345,19179969
Super ,0,6.8,4590,322157
Bambi ,0,7.4,63,102797150
The American President ,0,6.8,2668,65000000
The American ,1,6.3,1454,35596227
El Mariachi ,0,6.9,147,2040920
Fun with Dick and Jane ,1,6.1,1997,110332737
The Amazing Spider-Man 2 ,0,6.7,28631,202853933
How to Train Your Dragon 2 ,5,7.9,23378,176997107
The Amazing Catfish ,0,7,58,11278
Planet of the Apes ,0,5.7,5552,360023480
2 Fast 2 Furious ,5,5.9,25296,127083765
The Adventures of Sharkboy and Lavagirl 3-D ,1,3.5,14899,39177541
The Adventures of Pluto Nash ,1,3.8,6161,4411102
Sherlock Holmes: A Game of Shadows ,2,7.5,22403,186830669
Cliffhanger ,1,6.4,15229,84049211
The Adventures of Pinocchio ,2,5.3,2465,15091542
Sin City ,1,8.1,3924,74098862
One Day ,0,7,17627,13766014
The Adventures of Ford Fairlane ,5,6.3,2795,21413502
Rang De Basanti ,0,8.4,1519,2197331
Porky's ,0,6.2,582,105500000
Blood Ties ,6,6.5,18442,41229
The Adventures of Elmo in Grouchland ,0,5.8,2020,11634458
Rush Hour 3 ,2,6.2,1125,140080850
The Adventurer: The Curse of the Midas Box ,4,5.4,2450,4756
The Act of Killing ,1,8.2,6,484221
Leaving Las Vegas ,0,7.6,14823,31968347
Run All Night ,2,6.6,16992,26442251
My Dog Skip ,0,7,2515,34099640
Daylight ,0,5.8,25126,32885565
The 40-Year-Old Virgin ,1,7.1,8341,109243478
Slither ,0,6.5,1120,7774730
The 6th Day ,1,5.9,5839,34543701
The 5th Quarter ,2,5.7,2370,399611
Firewall ,1,5.8,101383,48745150
In Dreams ,0,5.5,22006,11900000
That Thing You Do! ,6,6.9,28713,25809813
Texas Chainsaw 3D ,0,4.8,1945,34334256
Terminator 3: Rise of the Machines ,0,6.4,1769,150350192
Escape from Tomorrow ,0,5.2,2483,169719
Terminator 2: Judgment Day ,0,8.5,2829,204843350
102 Dalmatians ,1,4.8,4182,66941559
Teenage Mutant Ninja Turtles II: The Secret of the Ooze ,0,6,2501,78656813
Escobar: Paradise Lost ,1,6.6,14492,106869
Teen Wolf Too ,1,3.2,1389,7888703
Love's Abiding Joy ,0,7.2,2715,252726
Ted 2 ,0,6.4,30010,81257500
Kevin Hart: Laugh at My Pain ,1,7.5,548,7705974
Tea with Mussolini ,6,6.9,1148,14348123
Everest ,0,7.1,2131,43247140
Tanner Hall ,2,5.9,1929,5005
America's Sweethearts ,4,5.7,9176,93607673
Howl's Moving Castle ,0,8.2,24263,4710455
Loaded Weapon 1 ,2,6.1,12322,27979400
Tango & Cash ,1,6.3,14432,63408614
Sucker Punch ,4,6.1,7067,36381716
Seeking a Friend for the End of the World ,2,6.7,7747,6619173
Tango ,3,7.2,371,1687311
Tangled ,1,7.8,2036,200807262
Talk Radio ,0,7.3,1966,3468572
Mission to Mars ,0,5.6,4902,60874615
Tales from the Hood ,0,6.1,3221,11797927
Elf ,1,6.9,43354,173381405
Tales from the Crypt: Demon Knight ,1,6.7,3931,21088568
Flight of the Phoenix ,4,6.1,4397,21009180
Jonah: A VeggieTales Movie ,0,6.6,49,25571351
Laws of Attraction ,1,5.9,961,17848322
Taking Woodstock ,12,6.7,1500,7443007
Pirates of the Caribbean: On Stranger Tides ,4,6.7,54083,241063875
Once Upon a Time in Mexico ,1,6.4,46186,55845943
National Treasure ,0,6.9,13679,173005002
Cube ,0,7.3,1743,489220
Taken 2 ,0,6.3,16410,139852971
Taken ,0,7.9,16461,145000989
Simon Birch ,2,6.9,1816,18252684
Aladdin ,0,8,52970,217350219
Bicentennial Man ,0,6.8,55254,58220776
Take Shelter ,0,7.4,1520,1729969
Garfield 2 ,0,5,14918,28424210
Saint Ralph ,1,7.6,955,795126
Ta Ra Rum Pum ,3,5.4,902,872643
Notes on a Scandal ,0,7.4,646,17508670
"Synecdoche, New York ",0,7.5,24732,3081925
Sydney White ,2,6.3,2785,11702090
3 Days to Kill ,0,6.2,1286,30688364
Swordfish ,4,6.5,25942,69772969
Resident Evil: Apocalypse ,1,6.2,16791,50740078
Switchback ,1,6.4,74,6482195
Straight Out of Brooklyn ,4,5.9,380,2712293
Swimfan ,0,5,3819,28563926
Ride Along 2 ,0,5.9,5178,90835030
Sweet Sweetback's Baadasssss Song ,1,5.5,1631,15180000
Sweet Home Alabama ,1,6.1,4251,127214072
Road to Perdition ,0,7.7,16828,104054514
A Fistful of Dollars ,1,8,16534,3500000
Neighbors 2: Sorority Rising ,0,6,17860,55291815
"Surfer, Dude ",0,4.7,14599,36497
28 Weeks Later ,1,7,11471,28637507
Supernova ,0,4.8,1262,14218868
Black or White ,2,6.6,3745,21569041
Chasing Liberty ,0,6.1,1671,24379028
Sin City: A Dame to Kill For ,3,6.5,49433,13750556
Scott Pilgrim vs. the World ,0,7.5,12687,31494270
Superman III ,1,4.9,2329,60000000
Superman II ,4,6.8,2908,108200000
Dark Shadows ,7,6.2,80849,79711678
Superman ,0,7.3,12940,134218018
10 Things I Hate About You ,6,7.2,37907,38176108
Saving Silverman ,1,5.9,664,19351569
Superhero Movie ,6,4.5,3266,25871834
Supercapitalist ,0,3.9,892,13220
51 Birch Street ,2,7.5,0,84689
Super 8 ,0,7.1,3388,126975169
Sunshine State ,6,6.9,2584,3064356
Sunshine Cleaning ,0,6.9,2528,12055108
Down Terrace ,4,6.5,365,9609
Summer Storm ,0,7.4,362,95016
Summer of Sam ,0,6.6,5386,19283782
Son of God ,1,5.6,775,59696176
Sugar Town ,2,6.1,1987,177840
Apollo 13 ,0,7.6,17171,172071312
Sugar Hill ,1,5.9,2149,18272447
Evil Dead II ,0,7.8,1347,5923044
Submarine ,1,7.3,3275,466702
City by the Sea ,1,6.2,34377,22433915
Stuck on You ,2,5.8,14036,33828318
I Got the Hook Up ,2,3.9,987,10305534
Road Trip ,5,6.5,3889,68525609
Stuart Little ,0,5.9,3382,140015224
Rubber ,0,5.8,1498,98017
Resurrecting the Champ ,1,6.8,2417,3169424
Memento ,0,8.5,1997,25530884
Street Kings ,4,6.8,33878,26415649
Diary of a Wimpy Kid ,1,6.2,20154,64001297
Street Fighter: The Legend of Chun-Li ,2,3.7,1385,8742261
Happy Gilmore ,1,7,13162,38624000
Straw Dogs ,1,5.8,11431,10324441
Meet Joe Black ,0,7.1,23950,44606335
Strange Wilderness ,4,5.3,4218,6563357
Jindabyne ,2,6.4,378,399879
Stop-Loss ,2,6.5,43560,10911750
Public Enemies ,1,7,64599,97030725
Cars 2 ,0,6.3,4482,191450875
School Daze ,4,5.8,1284,14545844
Argo ,1,7.7,3133,136019448
Stonewall ,0,4.5,26176,186354
Ice Princess ,2,6,235,24381334
Rush ,0,8.1,37206,26903709
Stolen Summer ,1,6.5,3901,119841
Stoker ,4,6.8,5074,1702277
Stir of Echoes ,0,7,1254,21133087
Source Code ,3,7.5,16034,54696902
Peeples ,6,5.3,3322,9123834
Still Alice ,1,7.5,19673,18656400
Stigmata ,0,6.2,3004,50041732
Firefox ,1,5.9,16805,46700000
Stick It ,3,6.4,14903,26870825
Step Up 3D ,0,6.2,4059,42385520
Arthur and the Invisibles ,0,6,683,15131330
Step Up 2: The Streets ,2,6.2,816,58006147
Snowpiercer ,5,7,12286,4563029
Step Brothers ,2,6.9,11264,100468793
Pitch Black ,0,7.1,16196,39235088
Steel ,1,2.8,3100,1686429
RoboCop 3 ,0,3.9,3148,10696210
Steamboy ,1,6.9,991,410388
Stealth ,0,5,2705,31704416
Bobby Jones: Stroke of Genius ,3,6.7,1727,2694071
Lady in White ,0,6.7,2545,1705139
Stealing Harvard ,1,5.1,6130,27947064
Starship Troopers ,0,7.2,2031,54700065
Star Wars: Episode V - The Empire Strikes Back ,0,8.8,12643,290158751
House on Haunted Hill ,0,5.6,2872,40846082
Star Wars: Episode IV - A New Hope ,1,8.7,13485,460935665
Star Wars: Episode II - Attack of the Clones ,3,6.7,42990,310675583
Jaws ,0,8,2047,260000000
Star Wars: Episode I - The Phantom Menace ,1,6.5,37723,474544677
Star Trek: Nemesis ,0,6.4,31224,43119879
Star Trek: Insurrection ,0,6.4,6207,70117571
Jay and Silent Bob Strike Back ,5,6.9,11632,30059386
Star Trek IV: The Voyage Home ,5,7.3,15449,109713132
Star Trek Into Darkness ,0,7.8,21411,228756232
Star Trek II: The Wrath of Khan ,2,7.7,16539,78900000
Star Trek Beyond ,4,7.5,1327,130468626
Star Trek ,0,8,39284,257704099
Standing Ovation ,9,3.4,72,531806
Prom ,0,5.4,5190,10106233
Freeheld ,0,6.5,9660,532988
St. Vincent ,3,7.3,20330,44134898
Spy Kids: All the Time in the World in 4D ,5,3.6,4311,38536376
Aloft ,1,5.3,326,52961
Four Lions ,0,7.3,1269,304137
Spy Kids 3-D: Game Over ,3,4.1,22935,111760631
Spy Kids 2: Island of Lost Dreams ,1,5.1,18291,85570368
Music and Lyrics ,4,6.5,2787,50562555
Spy Hard ,2,5.3,2653,26906039
A Single Man ,2,7.6,14816,9166863
Enough ,1,5.6,3770,39177215
Spotlight ,2,8.1,1058,44988180
Split Second ,0,6.2,493,5430822
Over the Hill to the Poorhouse ,1,4.8,4,3000000
Elling ,0,7.6,155,313436
Splash ,2,6.2,15361,69800000
Safe House ,1,6.8,36237,126149655
Spirited Away ,0,8.6,44,10049886
Radio ,1,6.9,4231,52277485
Oculus ,0,6.5,2071,27689474
Spirit: Stallion of the Cimarron ,0,7,14261,73215310
Spider-Man 3 ,0,6.2,92110,673060606
Attack the Block ,6,6.6,2011,1024175
Spice World ,1,3.3,2176,29247405
Sphinx ,0,5.2,2079,800000
Caravans ,0,6.5,17250,1000000
Speed Racer ,0,6.1,902,43929341
Speed ,0,7.2,20966,121248145
Escape from Alcatraz ,0,7.6,17568,36500000
Species ,0,5.8,1715,60054449
Against the Ropes ,2,5.3,2972,5881504
Sparkle ,7,5.7,5804,24397469
Double Take ,2,5.3,2557,20218
Spaced Invaders ,1,5.3,1441,15369573
Carrie ,1,5.9,40102,70533238
Space Jam ,1,6.3,15001,90443603
Can't Stop the Music ,0,4.5,1462,2000000
Hollow Man ,0,5.7,2356,73209340
Mirror Mirror ,1,5.6,11454,64933670
Space Chimps ,0,4.5,2268,30105968
Southpaw ,0,7.5,16881,52418902
Southland Tales ,6,5.5,2340,273420
From Hell ,1,6.8,83272,63196616
Sound of My Voice ,0,6.7,511,405614
Bats ,0,3.6,1405,10149779
Soul Plane ,9,4.4,3935,13922211
Casino ,2,8.2,24183,42438300
Driven ,0,4.5,14780,32616869
Flight of the Intruder ,3,5.7,1290,14587732
Pixels ,0,5.6,35367,78747585
1408 ,0,6.8,214,71975611
Song One ,1,5.8,12772,20200
Something's Gotta Give ,1,6.7,22679,124590960
Harley Davidson and the Marlboro Man ,2,6,3671,7434726
Honey ,2,5.3,4868,30222640
My Cousin Vinny ,1,7.5,3280,52929168
Something Borrowed ,4,5.9,2371,39026186
Any Given Sunday ,5,6.8,20761,75530832
Dracula Untold ,1,6.3,5178,55942830
Someone Like You... ,3,6.1,20798,27338033
No Escape ,0,6.8,259,27285953
Some Like It Hot ,2,8.3,527,25000000
Like Crazy ,1,6.7,34983,3388210
Solitary Man ,7,6.4,2661,4360548
Shark Tale ,0,6,63165,160762022
Soldier ,1,6,2542,14567883
Snow White and the Seven Dwarfs ,1,7.7,229,184925485
Epic Movie ,11,2.3,4293,39737645
Snow White and the Huntsman ,0,6.1,72881,155111815
It's Complicated ,2,6.6,15226,112703470
Midnight Run ,1,7.6,23866,38413606
Shaun of the Dead ,6,8,1686,13464388
Salvation Boulevard ,5,5.3,561,27445
From Paris with Love ,1,6.5,488,23324666
Snow Flower and the Secret Fan ,0,6.1,2430,1346503
Snow Day ,1,4.9,2241,60008303
Pootie Tang ,0,5.2,2238,3293258
Snow Angels ,0,6.9,2747,402820
Snatch ,6,8.3,78350,60186214
Snakes on a Plane ,0,5.6,5207,68028796
Snake Eyes ,1,5.9,15269,55585389
Avengers: Age of Ultron ,4,7.5,92000,458991599
Smokin' Aces ,0,6.7,19410,35635046
Open Range ,0,7.5,5458,58328680
Smoke Signals ,3,7.2,3163,6719300
BloodRayne ,2,2.9,2930,1550000
Maid in Manhattan ,2,5.1,7184,93815117
Smiling Fish & Goat on Fire ,5,7.6,20814,277233
Runaway Bride ,2,5.5,12790,152149590
Sarah's Key ,2,7.5,2140,7691700
Small Time Crooks ,0,6.7,23283,17071230
Small Soldiers ,0,6.1,8610,53955614
Dallas Buyers Club ,0,8,17738,27296514
Slumdog Millionaire ,0,8,820,141319195
Sling Blade ,0,8,3967,24475416
Sliding Doors ,1,6.8,1462,11883495
Deep Impact ,0,6.1,22750,140459099
Never Say Never Again ,3,6.2,762,55500000
Dear Wendy ,0,6.6,2572,23106
Sleepover ,9,5.3,13626,8070311
Sleepers ,3,7.5,37076,53300852
Sleep Dealer ,0,5.9,862,75727
Slackers ,4,5.3,2415,4814244
On the Road ,4,6.1,33747,717753
Slacker ,0,7.1,5,1227508
Pan ,4,5.8,64190,104894454
"I, Robot ",1,7.1,12068,144795350
Richard III ,3,7.5,23962,2600000
Harold & Kumar Go to White Castle ,2,7.1,3114,18225165
Skyfall ,0,7.8,4078,608720554
Hart's War ,0,6.3,15916,19076815
Sky High ,3,6.2,2968,63939454
Screwed ,0,5.7,3848,6982680
Futuro Beach ,2,6.1,629,20262
GoldenEye ,2,7.2,1784,106635996
Sky Captain and the World of Tomorrow ,2,6.1,12871,37760080
Final Fantasy: The Spirits Within ,1,6.4,15015,32131830
Gone with the Wind ,1,8.2,1862,198655278
Hitman ,1,6.3,2124,39687528
Reign Over Me ,2,7.5,17050,19661987
Six-String Samurai ,1,6.7,36,124494
Sisters in Law ,1,7.5,2,32631
Kevin Hart: Let Me Explain ,0,6.7,1385,32230907
Little Children ,0,7.6,15337,5459824
Saw V ,0,5.8,5286,56729973
All the Queen's Men ,1,4.5,1732,22723
Birdman or (The Unexpected Virtue of Ignorance) ,8,7.8,21668,42335698
Sinbad: Legend of the Seven Seas ,0,6.7,11301,26288320
Mr. Nice Guy ,1,6.2,773,12674183
No Reservations ,2,6.3,3497,43097652
Contagion ,4,6.6,13634,75638743
Silverado ,4,7.2,1154,33200000
Silent House ,0,5.3,218,12555230
She's the Man ,0,6.4,20109,33687630
Serial Mom ,4,6.7,3092,7881335
Silent Hill ,0,6.6,1933,46982632
Sicario ,2,7.6,1467,46875468
Caddyshack ,3,7.4,14921,39800000
Shrek the Third ,2,6.1,4705,320706665
Dekalog ,0,9.1,50,894186
Shrek Forever After ,2,6.4,4628,238371987
Showgirls ,0,4.6,18913,20302961
Ocean's Twelve ,0,6.4,19359,125531634
Showdown in Little Tokyo ,2,6,2404,2275557
Shotgun Stories ,0,7.3,114,45661
Pocahontas ,1,6.6,26754,141600000
Shorts ,4,4.9,88422,20916309
Shortbus ,3,6.5,226,1984378
A Nightmare on Elm Street 5: The Dream Child ,0,5.1,584,22168359
Groundhog Day ,1,8.1,15500,70906973
Shopgirl ,3,6.4,1871,10281585
Shooting Fish ,3,6.6,975,302204
Shine ,0,7.7,888,35811509
She's Out of My League ,1,6.4,5707,31584722
Payback ,1,7.1,3148,81517441
Shadow of the Vampire ,1,6.9,1761,8279017
She's Gotta Have It ,0,6.5,708,7137502
Friends with Benefits ,2,6.6,20956,55802754
Shattered Glass ,0,7.2,8297,2207975
Shark Night 3D ,0,4,4952,18860403
Shanghai Surprise ,0,3,805,2315683
Project Almanac ,0,6.4,1819,22331028
Shanghai Noon ,2,6.6,939,56932305
Hollywood Homicide ,2,5.3,14028,30013346
Shanghai Calling ,5,6.3,2386,10443
Scream 3 ,4,5.5,600,89138076
Shame ,0,7.3,15230,4000304
Exiled ,0,7.3,398,49413
Shaft ,0,5.9,26527,70327868
Heavenly Creatures ,2,7.4,14574,3049135
High Crimes ,1,6.3,15571,41543207
Jumping the Broom ,8,5.7,5959,37295394
Shadowlands ,0,7.4,13619,25842000
Shade ,8,6.4,490,10696
Coming Home ,1,7.3,900,377420
Sgt. Bilko ,2,5.7,2176,30400000
My Super Ex-Girlfriend ,1,5.1,2737,22526144
Barnyard ,1,5.6,2055,72601713
Sexy Beast ,6,7.3,1291,6940281
"Crouching Tiger, Hidden Dragon ",3,7.9,129,128067808
Sex Tape ,2,5.1,1488,38543473
Sex Drive ,1,6.5,4324,8396942
Australia ,0,6.6,921,49551662
Battlefield Earth ,0,2.4,971,21471685
Severance ,0,6.6,2217,136432
Semi-Pro ,3,5.8,10026,33472850
Seven Years in Tibet ,1,7,12226,37901509
Seven Psychopaths ,7,7.2,4757,14989761
Seven Pounds ,1,7.7,14727,69951824
EuroTrip ,5,6.6,14180,17718223
Session 9 ,0,6.5,469,373967
Criminal ,2,6.3,10910,14268533
Jakob the Liar ,2,6.5,51657,4956401
September Dawn ,0,5.8,1526,1066555
Self/less ,0,6.5,17847,12276810
Seed of Chucky ,0,4.9,2567,17016190
Secretary ,1,7.1,2251,4046737
Flightplan ,1,6.2,2287,89706988
Garden State ,3,7.6,1655,26781723
Howards End ,3,7.5,13180,25967000
Secretariat ,0,7.2,2259,59699513
My Baby's Daddy ,5,4.5,3646,17321573
Secret Window ,1,6.6,41293,47781388
Election ,0,7.3,3516,14879556
Secondhand Lions ,1,7.6,9638,41407470
An Ideal Husband ,3,6.9,2640,18535191
Cinderella Man ,0,8,2523,61644321
Ice Age ,0,7.6,5437,176387405
Racing Stripes ,0,5.2,2910,49186871
Ghost Dog: The Way of the Samurai ,1,7.5,675,3300230
Seabiscuit ,0,7.3,13808,120147445
Sea Rex 3D: Journey to a Prehistoric World ,0,6.9,55,4074023
Sea of Love ,1,6.8,15914,58571513
Scrooged ,1,7,18734,60328558
Paul Blart: Mall Cop 2 ,1,4.4,3552,71038190
Scream 4 ,0,6.2,4486,38176892
American Desi ,2,6.7,454,902835
Baby's Day Out ,1,5.9,2949,16671505
Scream 2 ,5,6.1,2321,101334374
Scooby-Doo 2: Monsters Unleashed ,0,4.9,7800,84185387
Scooby-Doo ,3,4.9,6355,153288182
Safe ,2,6.5,27759,17120019
Scary Movie 4 ,8,5.1,5855,90703745
Scarface ,0,8.3,16464,44700000
Jackass 3D ,1,7.1,1787,117224271
Saw VI ,0,6,3101,27669413
Saw IV ,0,5.9,3492,63270259
Lord of War ,2,7.6,12076,24127895
Saw II ,0,6.6,4134,87025093
Nurse Betty ,4,6.3,12254,25167270
Saw 3D: The Final Chapter ,0,5.6,1978,45670855
National Lampoon's Vacation ,1,7.4,3617,61400000
Plush ,2,5.4,2341,2843
Saw ,0,7.7,5161,55153403
Saving Private Ryan ,2,8.6,44998,216119491
Saving Private Perez ,6,6,793,1391770
San Andreas ,0,6.1,16718,155181732
Samsara ,0,8.5,48,2601847
Notting Hill ,1,7,9255,116006080
Saints and Soldiers ,0,6.8,587,1310270
Jeepers Creepers ,0,6.1,1982,37470017
Nine ,4,5.8,619,19673424
Doogal ,0,2.8,2185,7382993
Saint John of Las Vegas ,1,5.8,36885,100669
Double Jeopardy ,0,6.4,2129,116735231
Sahara ,3,6,13073,68642452
Dracula 2000 ,0,4.9,23344,33000377
Proof of Life ,1,6.2,1013,32598931
Safety Not Guaranteed ,0,7,2714,4007792
Action Jackson ,2,5.2,5282,20257000
Safe Men ,0,6.1,1141,21210
On Deadly Ground ,1,4.4,1860,38590500
Sabotage ,3,5.7,2916,20999936
Crocodile Dundee ,1,6.5,822,174635000
Nowhere to Run ,0,5.5,2210,22189039
S.W.A.T. ,1,6,14486,116643346
Driving Miss Daisy ,1,7.4,12619,106593296
Runner Runner ,3,5.6,5706,19316646
"Run, Fatboy, Run ",0,6.6,1022,5998971
Rumble in the Bronx ,1,6.7,407,32333860
Hereafter ,0,6.5,14344,32741596
Rugrats in Paris: The Movie ,0,6.1,4527,76501438
Abduction ,1,5,561,28064226
Airplane! ,0,7.8,2726,83400000
Bride & Prejudice ,1,6.2,2321,6601079
Rugrats Go Wild ,0,5.6,3017,39399750
Ruby in Paradise ,1,7.2,423,1001437
Rosewater ,0,6.6,1283,3093491
Ronin ,2,7.3,24270,41609593
Pirates of the Caribbean: Dead Man's Chest ,2,7.3,48486,423032628
Crossroads ,1,3.3,3062,74377334
Romeo Must Die ,1,6.1,9082,55973336
Romeo Is Bleeding ,1,6.6,13160,3275585
Romeo + Juliet ,2,6.8,33791,46338728
Romance & Cigarettes ,0,6.3,28004,540085
Rollerball ,3,3,2763,18990542
Role Models ,1,6.9,3400,67266300
Rocky Balboa ,0,7.2,15111,70269171
Rocky ,0,8.1,16094,117235247
RocknRolla ,4,7.3,46944,5694401
RoboCop ,0,6.2,28321,117214014
Dickie Roberts: Former Child Star ,1,5.6,2713,22734486
Persepolis ,0,8,1754,4443403
Robin Hood: Prince of Thieves ,0,6.9,38518,165500000
Big ,1,7.3,28018,114968774
Robin Hood ,0,6.7,3244,105219735
Road House ,1,6.5,2484,30050028
Road Hard ,0,6.1,2628,105943
Rize ,0,7.1,321,3278611
